mu1 sig1 mu2 sig2 rho n
4.961016 0.015379 6.309573 1.038371 0.023577 9719
4.949552 0.037723 2.741907 0.208409 -0.149504 128
4.958006 0.127204 5.063209 0.844144 -0.220031 4
4.981029 0.091066 4.880709 0.469253 0.959802 11
4.950395 0.266079 5.400604 0.240634 0.976034 2
4.999094 0.063546 5.075337 1.112739 0.21871 1
4.951279 0.015744 5.359742 1.070975 0.009533 9734
4.918584 0.042128 1.837376 0.248093 -0.049555 117
4.944115 0.115407 4.740672 0.832364 -0.935852 7
4.977927 0.062381 5.129104 0.259066 -0.63729 7
4.970941 0.015284 5.998149 1.252227 0.032472 9726
4.941103 0.056046 2.447809 0.289371 -0.254442 110
5.01079 0.126303 5.855799 2.49869 -0.158715 29
4.938486 0.015733 6.957065 1.032753 0.100094 9732
4.943313 0.047981 3.390818 0.259861 0.042888 103
5.032865 0.063841 6.323207 1.019647 0.328124 30
4.982628 0.01554 7.132618 0.97416 0.069296 9667
4.956804 0.037601 3.633583 0.254899 -0.162649 136
5.041338 0.059804 6.080232 1.22198 0.181477 62
4.983784 0.01566 6.255043 1.076995 0.061248 9729
4.96254 0.039382 2.68832 0.304815 -0.48433 123
5.001214 0.106823 5.812188 0.922007 0.923545 9
5.002055 0.051735 4.95068 0.227957 -0.61622 2
4.950882 0.082605 2.976426 0.67395 -0.550367 2
4.965184 0.01563 6.968021 1.21471 0.084181 9759
4.926146 0.055659 3.197842 0.137275 0.168828 96
5.036501 0.102719 4.802659 1.232556 0.379445 6
5.008553 0.09383 4.699591 0.199732 0.944811 4
4.952716 0.015626 6.739729 1.126051 0.129098 9696
4.940606 0.040084 3.167365 0.30984 -0.309671 114
4.93463 0.093155 5.851702 1.005186 -0.00935 55
4.98245 0.015579 6.26544 1.051211 0.126604 9745
4.967102 0.040749 2.65723 0.230916 0.062546 103
4.995191 0.085564 4.40169 1.080947 0.670639 8
4.95949 0.141866 4.758523 1.932507 -0.418528 9
4.982674 0.015527 6.308715 1.218579 0.065042 9746
4.986493 0.045306 2.776814 0.376854 -0.184856 117
4.972926 0.072933 5.404374 0.859869 0.258712 1
4.99838 0.037405 3.994472 0.335314 0.958249 1
4.921225 0.015664 6.703316 1.128313 0.094549 9732
4.868963 0.039937 3.066 0.211665 -0.216226 112
4.992684 0.078179 5.047658 2.008997 -0.379923 17
4.973548 0.043931 3.995011 0.243563 -0.504721 1
4.990059 0.066564 4.928541 0.094882 -0.500272 2
4.971557 0.048589 6.126315 0.281599 0.365637 1
4.983874 0.01566 7.104646 1.304851 0.091461 9750
4.989308 0.057194 3.2575 0.248123 -0.239805 95
5.04952 0.152736 5.339253 1.247145 -0.286453 20
4.944959 0.015585 6.642244 1.164141 0.101883 9715
4.936149 0.047314 2.879868 0.185104 -0.272609 93
5.108932 0.060162 5.5887 0.546948 0.08598 18
4.921372 0.138296 5.070466 0.353699 -0.74139 15
4.960032 0.044312 3.596789 0.918649 -0.278247 17
4.998526 0.36061 4.707397 1.412862 -0.853623 7
4.956548 0.015567 6.71953 1.217439 0.109121 9734
4.963127 0.062921 2.989447 0.194807 0.321161 87
4.989814 0.112075 4.412249 1.454651 -0.248512 22
4.978995 0.138699 5.318014 1.650445 0.747726 18
4.981562 0.112494 4.88153 0.098687 0.842158 3
4.968321 0.03917 3.835121 0.872267 -0.692168 1
4.985676 0.015799 5.141924 1.182923 0.038252 9750
4.933373 0.046834 1.587867 0.26946 -0.320551 105
4.964512 0.053277 4.375957 0.124779 0.098954 10
4.963393 0.015536 5.552807 1.254327 0.022387 9726
4.953589 0.047423 1.731919 0.16986 -0.296831 102
5.053742 0.095997 4.75551 1.181308 0.284509 33
4.94718 0.083936 4.303793 0.740667 0.095445 1
5.02016 0.061343 5.285699 0.118841 0.212834 1
4.993495 0.087574 4.789944 0.144899 -0.409598 1
4.976271 0.049453 4.679615 0.879047 -0.047191 1
4.969429 0.015863 6.437374 1.103811 0.050697 9708
4.960696 0.038068 2.893563 0.243213 -0.1686 121
4.979276 0.099004 5.126945 0.614751 0.514054 34
4.927274 0.074838 4.687951 0.832736 0.082539 1
4.977634 0.033389 6.126789 0.701665 0.894876 1
4.978608 0.0155 6.668846 1.149881 0.085262 9706
4.980008 0.035722 3.057966 0.364829 0.074003 110
5.033907 0.084728 5.482111 1.928985 0.459333 21
4.904127 0.100387 5.106488 0.664048 -0.32097 7
5.022516 0.095677 4.168316 0.870825 0.595428 21
4.958741 0.015349 6.098053 1.086542 0.009794 9690
4.934444 0.032604 2.508364 0.313656 -0.331473 107
4.875224 0.060061 4.858665 3.309626 -0.446016 48
5.043202 0.074616 5.134644 2.610783 0.655077 12
4.969957 0.101976 6.72209 0.948488 -0.279746 3
4.997371 0.163992 4.234728 0.467657 0.650412 1
4.986167 0.161639 5.441868 0.996059 0.301152 4
