mu1 sig1 mu2 sig2 rho n
4.985759 0.015368 5.511205 0.966011 0.076518 13538
4.985335 0.024389 2.370449 0.177256 -0.051549 327
4.830351 0.103979 5.265445 0.255939 0.87895 16
4.98399 0.083541 5.128341 0.633218 0.484893 43
4.924593 0.055028 3.700169 2.264223 0.670181 9
4.982218 0.088105 5.362206 0.43329 0.762144 2
4.992251 0.095535 5.37613 0.436596 -0.743344 1
4.969346 0.015556 6.434893 0.981283 0.116406 13554
4.970187 0.027817 3.258463 0.197848 0.237993 334
4.947122 0.114112 5.623568 0.532353 0.423731 44
4.946072 0.066984 3.540686 0.946353 0.93781 4
4.951293 0.015393 5.44469 0.981623 0.079133 13526
4.947268 0.023761 2.317973 0.210022 0.051222 360
4.769454 0.126163 5.742355 1.146372 0.649963 33
4.994262 0.067888 4.614931 0.886273 -0.613549 5
4.983051 0.054188 4.26334 0.752964 -0.440866 9
4.951836 0.033032 4.449962 0.217299 0.026965 2
4.963779 0.046916 4.79471 0.577937 -0.828571 1
4.995945 0.015372 6.021819 0.995757 0.103833 13550
4.991189 0.025955 2.813669 0.184074 0.123487 338
4.980142 0.08297 5.696279 0.75201 0.739447 32
4.9519590000000004 0.164582 4.542668 0.213406 -0.934392 11
4.992577 0.051616 4.726058 0.663753 0.053273 4
4.96089 0.070414 4.890166 0.431201 -0.798204 1
4.989233 0.015223 5.98845 0.945842 0.101259 13541
4.962628 0.025255 2.884563 0.220196 0.08233 345
4.948064 0.092429 5.695112 0.940265 0.456984 50
4.9667 0.028876 1.893816 0.180176 0.138933 328
4.966344 0.0152 5.037409 0.985926 0.087208 13554
4.863157 0.136525 4.561077 0.697183 -0.043473 43
4.96431 0.121783 5.185682 0.805504 0.029663 4
4.991167 0.064888 5.155767 1.387623 0.156575 6
4.958464 0.023727 4.063989 0.25523 -0.492761 1
4.982025 0.015474 5.898553 1.033663 0.076257 13566
4.970137 0.021709 2.677461 0.227073 -0.00143 329
4.799232 0.082838 5.019473 0.328422 0.42316 41
4.96925 0.015401 5.586591 0.934914 0.109083 13502
4.967569 0.026919 2.450081 0.244901 0.16223 386
4.892013 0.128857 5.382663 0.921059 0.998373 27
4.910466 0.18379 4.109927 0.464699 -0.794634 7
4.995746 0.050041 5.344645 0.563691 0.196823 9
4.976666 0.063007 4.804419 0.305301 0.68312 4
4.941032 0.113264 2.039933 0.463743 -0.940214 1
4.985349 0.015618 5.739172 1.024872 0.108669 13537
4.976551 0.026167 2.565512 0.251759 -0.015321 345
4.940062 0.109942 4.692688 0.411571 0.169913 41
4.982946 0.039408 3.400577 0.843711 -0.030556 6
4.942918 0.035933 4.13453 0.174285 -0.343743 7
4.95171 0.01555 6.278169 0.973447 0.096456 13573
4.921242 0.028988 3.132818 0.18299 -0.079121 339
4.774586 0.103115 4.085604 1.029445 -0.212233 23
4.983411 0.077665 4.338016 1.40975 -0.825876 1
4.942554 0.015413 4.851664 0.931619 0.095627 13512
4.947134 0.026201 1.731385 0.226238 -0.258017 359
4.844428 0.149296 4.037049 0.277249 0.081703 20
4.930541 0.075544 3.674225 0.323789 -0.186613 45
4.990747 0.015511 4.902606 1.032362 0.083671 13530
4.99212 0.0291 1.692013 0.23003 -0.035315 334
4.899102 0.081827 4.135566 0.957656 0.224531 72
4.967488 0.015593 4.944042 0.954596 0.066495 13575
4.953961 0.025273 1.782393 0.167501 -0.142215 316
4.850847 0.059921 4.696142 1.114915 -0.182305 26
4.995039 0.065517 4.378763 0.649061 0.812287 8
4.987119 0.116413 3.673856 1.024979 -0.325961 10
4.988527 0.059421 5.408625 0.837553 0.177257 1
4.968603 0.015119 4.9460750000000004 0.903907 0.074595 13482
4.954509 0.025663 1.924376 0.224822 -0.201783 402
4.788904 0.13999 2.519024 3.440681 -0.986881 6
4.976091 0.09335 6.246253 0.9652 0.786771 15
4.955744 0.048116 5.124638 1.265236 -0.155611 31
4.932191 0.015469 7.062547 1.08728 0.117875 13541
4.912974 0.027007 3.818517 0.189923 0.114461 339
4.821548 0.110007 6.016672 0.663318 0.702281 52
4.965556 0.211504 5.497001 0.583716 0.378603 4
5.003932 0.015525 5.393494 1.011718 0.093905 13494
5.004715 0.025777 2.169517 0.182236 0.051481 279
4.98358 0.04626 3.585198 1.933156 -0.064646 85
4.905983 0.069581 4.190046 2.60625 0.340138 74
4.943935 0.038721 1.805849 0.689849 -0.635912 3
4.949603 0.063432 3.916484 0.095253 -0.027688 1
4.957129 0.015542 5.676598 0.928176 0.110989 13505
4.952328 0.022823 2.557453 0.227469 0.015812 363
4.777158 0.090774 4.359901 0.658016 -0.646258 55
4.969023 0.049888 3.952604 0.276507 0.900362 13
4.964775 0.014961 5.318893 1.051429 0.078753 13571
4.94566 0.025993 2.111226 0.185939 0.093342 314
4.853219 0.084038 4.787245 1.074259 0.363144 51
4.973668 0.028535 1.72334 0.294062 -0.132517 391
4.983312 0.015452 4.758338 0.927185 0.076315 13528
4.748854 0.156291 4.106477 0.525367 -0.062445 17
4.958421 0.015316 6.866585 1.010932 0.111353 13576
4.938771 0.026122 3.643142 0.193248 9.93e-4 328
4.84527 0.138218 5.312242 2.926071 0.465313 17
4.959329 0.172566 5.238832 0.613502 -0.04522 1
5.010184 0.043059 4.806901 1.32688 0.081896 14
4.967319 0.015227 4.664909 0.989849 0.054685 13498
4.968524 0.024108 1.518107 0.21357 -0.028771 345
4.860193 0.090596 3.622491 0.411059 -0.241572 30
4.981103 0.068786 4.146605 0.373425 0.66881 60
5.01049 0.091986 5.686857 0.572425 0.123451 2
4.967452 0.110095 3.643631 0.726603 -0.18489 1
4.988587 0.015268 5.550895 0.957466 0.125112 13575
